stock_id,suffix,Ticker SYMBOL,產業類別,公司名稱
1101,.TW,1101.TW,1,臺灣水泥股份有限公司
1102,.TW,1102.TW,1,亞洲水泥股份有限公司
1103,.TW,1103.TW,1,嘉新水泥股份有限公司
1104,.TW,1104.TW,1,環球水泥股份有限公司
1108,.TW,1108.TW,1,幸福水泥股份有限公司
1109,.TW,1109.TW,1,信大水泥股份有限公司
1110,.TW,1110.TW,1,東南水泥股份有限公司
1201,.TW,1201.TW,2,味全食品工業股份有限公司
1203,.TW,1203.TW,2,味王股份有限公司
1210,.TW,1210.TW,2,大成長城企業股份有限公司
1213,.TW,1213.TW,2,大西洋飲料股份有限公司
1215,.TW,1215.TW,2,台灣卜蜂企業股份有限公司
1216,.TW,1216.TW,2,統一企業股份有限公司
1217,.TW,1217.TW,2,愛之味股份有限公司
1218,.TW,1218.TW,2,泰山企業股份有限公司
1219,.TW,1219.TW,2,福壽實業股份有限公司
1220,.TW,1220.TW,2,台榮產業股份有限公司
1225,.TW,1225.TW,2,福懋油脂股份有限公司
1227,.TW,1227.TW,2,佳格食品股份有限公司
1229,.TW,1229.TW,2,聯華實業控股股份有限公司
1231,.TW,1231.TW,2,聯華食品工業股份有限公司
1232,.TW,1232.TW,2,大統益股份有限公司
1233,.TW,1233.TW,2,天仁茶業股份有限公司
1234,.TW,1234.TW,2,黑松股份有限公司
1235,.TW,1235.TW,2,興泰實業股份有限公司
1236,.TW,1236.TW,2,宏亞食品股份有限公司
1256,.TW,1256.TW,2,鮮活控股股份有限公司
1301,.TW,1301.TW,3,台灣塑膠工業股份有限公司
1303,.TW,1303.TW,3,南亞塑膠工業股份有限公司
1304,.TW,1304.TW,3,台灣聚合化學品股份有限公司
1305,.TW,1305.TW,3,華夏海灣塑膠股份有限公司
1307,.TW,1307.TW,3,三芳化學工業股份有限公司
1308,.TW,1308.TW,3,亞洲聚合股份有限公司
1309,.TW,1309.TW,3,台達化學工業股份有限公司
1310,.TW,1310.TW,3,台灣苯乙烯工業股份有限公司
1312,.TW,1312.TW,3,國喬石油化學股份有限公司
1313,.TW,1313.TW,3,聯成化學科技股份有限公司
1314,.TW,1314.TW,3,中國石油化學工業開發(股)公司
1315,.TW,1315.TW,3,達新工業股份有限公司
1316,.TW,1316.TW,14,上曜建設開發股份有限公司
1319,.TW,1319.TW,12,東陽實業廠股份有限公司
1321,.TW,1321.TW,3,大洋塑膠工業股份有限公司
1323,.TW,1323.TW,3,永裕塑膠工業股份有限公司
1324,.TW,1324.TW,3,地球綜合工業股份有限公司
1325,.TW,1325.TW,3,恒大股份有限公司
1326,.TW,1326.TW,3,台灣化學纖維股份有限公司
1337,.TW,1337.TW,3,亞洲塑膠再生資源控股有限公司
1338,.TW,1338.TW,12,廣華控股有限公司
1339,.TW,1339.TW,12,昭輝實業股份有限公司
1340,.TW,1340.TW,3,勝悅新材料有限公司
1341,.TW,1341.TW,3,富林塑膠工業(開曼)控股(股)公司
1342,.TW,1342.TW,20,八貫企業股份有限公司
1402,.TW,1402.TW,4,遠東新世紀股份有限公司
1409,.TW,1409.TW,4,新光合成纖維股份有限公司
1410,.TW,1410.TW,4,南洋染整股份有限公司
1413,.TW,1413.TW,4,宏洲纖維工業股份有限公司
1414,.TW,1414.TW,4,東和紡織股份有限公司
1416,.TW,1416.TW,20,廣豐實業股份有限公司
1417,.TW,1417.TW,4,嘉裕股份有限公司
1418,.TW,1418.TW,4,東華龍股份有限公司
1419,.TW,1419.TW,4,新光紡織股份有限公司
1423,.TW,1423.TW,4,利華羊毛工業股份有限公司
1432,.TW,1432.TW,37,大魯閣實業股份有限公司
1434,.TW,1434.TW,4,福懋興業股份有限公司
1435,.TW,1435.TW,20,中福國際(股)公司
1436,.TW,1436.TW,14,華友聯開發股份有限公司
1437,.TW,1437.TW,20,勤益投資控股股份有限公司
1438,.TW,1438.TW,14,三地開發地產股份有限公司
1439,.TW,1439.TW,14,雋揚國際股份有限公司
1440,.TW,1440.TW,4,臺南紡織股份有限公司
1441,.TW,1441.TW,4,大東紡織股份有限公司
1442,.TW,1442.TW,14,名軒開發股份有限公司
1443,.TW,1443.TW,20,立益物流開發股份有限公司
1444,.TW,1444.TW,4,力麗企業股份有限公司
1445,.TW,1445.TW,4,大宇紡織股份有限公司
1446,.TW,1446.TW,4,宏和精密紡織股份有限公司
1447,.TW,1447.TW,4,力鵬企業股份有限公司
1449,.TW,1449.TW,4,佳和實業股份有限公司
1451,.TW,1451.TW,4,年興紡織股份有限公司
1452,.TW,1452.TW,4,宏益纖維工業股份有限公司
1453,.TW,1453.TW,14,大將開發股份有限公司
1454,.TW,1454.TW,4,台灣富綢纖維股份有限公司
1455,.TW,1455.TW,4,集盛實業股份有限公司
1456,.TW,1456.TW,14,怡華實業股份有限公司
1457,.TW,1457.TW,4,宜進實業股份有限公司
1459,.TW,1459.TW,4,聯發紡織纖維股份有限公司
1460,.TW,1460.TW,4,宏遠興業股份有限公司
1463,.TW,1463.TW,4,強盛新投資控股股份有限公司
1464,.TW,1464.TW,4,得力實業股份有限公司
1465,.TW,1465.TW,4,偉全實業股份有限公司
1466,.TW,1466.TW,4,聚隆纖維股份有限公司
1467,.TW,1467.TW,4,南緯實業股份有限公司
1468,.TW,1468.TW,4,昶和纖維興業股份有限公司
1470,.TW,1470.TW,4,大統新創股份有限公司
1471,.TW,1471.TW,28,首利實業股份有限公司
1472,.TW,1472.TW,14,三洋實業股份有限公司
1473,.TW,1473.TW,4,台南企業股份有限公司
1474,.TW,1474.TW,4,弘裕企業股份有限公司
1475,.TW,1475.TW,4,台灣業旺股份有限公司
1476,.TW,1476.TW,4,儒鴻企業股份有限公司
1477,.TW,1477.TW,4,聚陽實業股份有限公司
1503,.TW,1503.TW,5,士林電機廠股份有限公司
1504,.TW,1504.TW,5,東元電機股份有限公司
1506,.TW,1506.TW,5,正道工業股份有限公司
1512,.TW,1512.TW,12,瑞利企業股份有限公司
1513,.TW,1513.TW,5,中興電工機械股份有限公司
1514,.TW,1514.TW,5,亞力電機股份有限公司
1515,.TW,1515.TW,5,力山工業股份有限公司
1516,.TW,1516.TW,20,川飛能源股份有限公司
1517,.TW,1517.TW,5,利奇機械工業股份有限公司
1519,.TW,1519.TW,5,華城電機股份有限公司
1521,.TW,1521.TW,12,大億交通工業製造股份有限公司
1522,.TW,1522.TW,12,堤維西交通工業股份有限公司
1524,.TW,1524.TW,12,耿鼎企業股份有限公司
1525,.TW,1525.TW,12,江申工業股份有限公司
1526,.TW,1526.TW,5,日馳企業股份有限公司
1527,.TW,1527.TW,5,鑽全實業股份有限公司
1528,.TW,1528.TW,5,恩德科技股份有限公司
1529,.TW,1529.TW,5,樂事綠能科技股份有限公司
1530,.TW,1530.TW,5,亞崴機電股份有限公司
1531,.TW,1531.TW,5,高林股份有限公司
1532,.TW,1532.TW,5,勤美股份有限公司
1533,.TW,1533.TW,12,車王電子股份有限公司
1535,.TW,1535.TW,5,中宇環保工程股份有限公司
1536,.TW,1536.TW,12,和大工業股份有限公司
1537,.TW,1537.TW,5,廣隆光電科技股份有限公司
1538,.TW,1538.TW,5,正峰工業股份有限公司
1539,.TW,1539.TW,5,巨庭機械股份有限公司
1540,.TW,1540.TW,5,喬福機械工業股份有限公司
1541,.TW,1541.TW,5,錩泰工業股份有限公司
1558,.TW,1558.TW,5,伸興工業股份有限公司
1560,.TW,1560.TW,5,中國砂輪企業股份有限公司
1563,.TW,1563.TW,12,巧新科技工業股份有限公司
1568,.TW,1568.TW,12,倉佑實業股份有限公司
1582,.TW,1582.TW,28,信錦企業股份有限公司
1583,.TW,1583.TW,5,程泰機械股份有限公司
1587,.TW,1587.TW,12,吉茂精密股份有限公司
1589,.TW,1589.TW,5,永冠能源科技集團有限公司
1590,.TW,1590.TW,5,亞德客國際集團
1597,.TW,1597.TW,5,直得科技股份有限公司
1598,.TW,1598.TW,37,岱宇國際股份有限公司
1603,.TW,1603.TW,6,中華電線電纜股份有限公司
1604,.TW,1604.TW,6,聲寶股份有限公司
1605,.TW,1605.TW,6,華新麗華股份有限公司
1608,.TW,1608.TW,6,華榮電線電纜股份有限公司
1609,.TW,1609.TW,6,大亞電線電纜股份有限公司
1611,.TW,1611.TW,6,中國電器股份有限公司
1612,.TW,1612.TW,6,宏泰電工股份有限公司
1614,.TW,1614.TW,6,台灣三洋電機股份有限公司
1615,.TW,1615.TW,6,大山電線電纜股份有限公司
1616,.TW,1616.TW,6,億泰電線電纜股份有限公司
1617,.TW,1617.TW,6,榮星電線工業股份有限公司
1618,.TW,1618.TW,6,合機電線電纜股份有限公司
1623,.TW,1623.TW,6,大東電業廠股份有限公司
1626,.TW,1626.TW,6,艾美特(開曼)國際有限公司
1702,.TW,1702.TW,2,南僑投資控股股份有限公司
1707,.TW,1707.TW,22,葡萄王生技股份有限公司
1708,.TW,1708.TW,21,東南實業股份有限公司
1709,.TW,1709.TW,21,和益化學工業股份有限公司
1710,.TW,1710.TW,21,東聯化學股份有限公司
1711,.TW,1711.TW,21,臺灣永光化學工業股份有限公司
1712,.TW,1712.TW,21,興農股份有限公司
1713,.TW,1713.TW,21,國泰化工廠股份有限公司
1714,.TW,1714.TW,21,和桐化學股份有限公司
1717,.TW,1717.TW,21,長興材料工業股份有限公司
1718,.TW,1718.TW,21,中國人造纖維股份有限公司
1720,.TW,1720.TW,22,生達化學製藥股份有限公司
1721,.TW,1721.TW,21,三晃股份有限公司
1722,.TW,1722.TW,21,台灣肥料股份有限公司
1723,.TW,1723.TW,21,中鋼碳素化學股份有限公司
1725,.TW,1725.TW,21,元禎企業股份有限公司
1726,.TW,1726.TW,21,永記造漆工業股份有限公司
1727,.TW,1727.TW,21,臺灣中華化學工業股份有限公司
1730,.TW,1730.TW,21,花仙子企業股份有限公司
1731,.TW,1731.TW,22,美吾華股份有限公司
1732,.TW,1732.TW,21,毛寶股份有限公司
1733,.TW,1733.TW,22,五鼎生物技術股份有限公司
1734,.TW,1734.TW,22,杏輝藥品工業股份有限公司
1735,.TW,1735.TW,21,日勝化工股份有限公司
1736,.TW,1736.TW,37,喬山健康科技股份有限公司
1737,.TW,1737.TW,2,臺鹽實業股份有限公司
1752,.TW,1752.TW,22,南光化學製藥股份有限公司
1760,.TW,1760.TW,22,寶齡富錦生技股份有限公司
1762,.TW,1762.TW,22,中化合成生技股份有限公司
1773,.TW,1773.TW,21,勝一化工股份有限公司
1776,.TW,1776.TW,21,展宇科技材料股份有限公司
1783,.TW,1783.TW,22,和康生物科技股份有限公司
1786,.TW,1786.TW,22,科妍生物科技股份有限公司
1789,.TW,1789.TW,22,台灣神隆股份有限公司
1795,.TW,1795.TW,22,美時化學製藥股份有限公司
1802,.TW,1802.TW,8,台灣玻璃工業股份有限公司
1805,.TW,1805.TW,14,寶徠建設股份有限公司
1806,.TW,1806.TW,8,冠軍建材股份有限公司
1808,.TW,1808.TW,14,潤隆建設股份有限公司
1809,.TW,1809.TW,8,中國製釉股份有限公司
1810,.TW,1810.TW,8,和成欣業股份有限公司
1817,.TW,1817.TW,8,凱撒衛浴股份有限公司
1903,.TW,1903.TW,9,士林紙業股份有限公司
1904,.TW,1904.TW,9,正隆股份有限公司
1905,.TW,1905.TW,9,中華紙漿股份有限公司
1906,.TW,1906.TW,9,寶隆國際股份有限公司
1907,.TW,1907.TW,9,永豐餘投資控股股份有限公司
1909,.TW,1909.TW,9,榮成紙業股份有限公司
2002,.TW,2002.TW,10,中國鋼鐵股份有限公司
2006,.TW,2006.TW,10,東和鋼鐵企業股份有限公司
2007,.TW,2007.TW,10,燁興企業股份有限公司
2008,.TW,2008.TW,10,高興昌鋼鐵股份有限公司
2009,.TW,2009.TW,10,第一伸銅科技股份有限公司
2010,.TW,2010.TW,10,春源鋼鐵工業股份有限公司
2012,.TW,2012.TW,10,春雨工廠股份有限公司
2013,.TW,2013.TW,10,中國鋼鐵結構股份有限公司
2014,.TW,2014.TW,10,中鴻鋼鐵股份有限公司
2015,.TW,2015.TW,10,豐興鋼鐵股份有限公司
2017,.TW,2017.TW,10,官田鋼鐵股份有限公司
2020,.TW,2020.TW,10,美亞鋼管廠股份有限公司
2022,.TW,2022.TW,10,聚亨企業股份有限公司
2023,.TW,2023.TW,10,燁輝企業股份有限公司
2024,.TW,2024.TW,10,志聯工業股份有限公司
2025,.TW,2025.TW,10,千興不銹鋼(股)公司
2027,.TW,2027.TW,10,大成不銹鋼工業股份有限公司
2028,.TW,2028.TW,10,威致鋼鐵工業股份有限公司
2029,.TW,2029.TW,10,盛餘股份有限公司
2030,.TW,2030.TW,10,彰源企業股份有限公司
2031,.TW,2031.TW,10,新光鋼鐵股份有限公司
2032,.TW,2032.TW,10,新鋼工業股份有限公司
2033,.TW,2033.TW,10,佳大世界股份有限公司
2034,.TW,2034.TW,10,允強實業股份有限公司
2038,.TW,2038.TW,10,海光企業股份有限公司
2049,.TW,2049.TW,5,上銀科技股份有限公司
2059,.TW,2059.TW,28,川湖科技股份有限公司
2062,.TW,2062.TW,38,橋椿金屬股份有限公司
2069,.TW,2069.TW,10,運錩鋼鐵股份有限公司
2072,.TW,2072.TW,35,世紀離岸風電設備股份有限公司
2101,.TW,2101.TW,11,南港輪胎股份有限公司
2102,.TW,2102.TW,11,泰豐輪胎股份有限公司
2103,.TW,2103.TW,11,台橡股份有限公司
2104,.TW,2104.TW,11,國際中橡投資控股股份有限公司
2105,.TW,2105.TW,11,正新橡膠工業股份有限公司
2106,.TW,2106.TW,11,建大工業股份有限公司
2107,.TW,2107.TW,11,厚生股份有限公司
2108,.TW,2108.TW,11,南帝化學工業股份有限公司
2109,.TW,2109.TW,11,華豐橡膠工業股份有限公司
2114,.TW,2114.TW,11,鑫永銓股份有限公司
2115,.TW,2115.TW,12,六暉控股股份有限公司
2201,.TW,2201.TW,12,裕隆汽車製造股份有限公司
2204,.TW,2204.TW,12,中華汽車工業股份有限公司
2206,.TW,2206.TW,12,三陽工業股份有限公司
2207,.TW,2207.TW,12,和泰汽車股份有限公司
2208,.TW,2208.TW,15,台灣國際造船股份有限公司
2211,.TW,2211.TW,10,長榮鋼鐵股份有限公司
2227,.TW,2227.TW,12,裕隆日產汽車股份有限公司
2228,.TW,2228.TW,12,劍麟股份有限公司
2231,.TW,2231.TW,12,為升電裝工業股份有限公司
2233,.TW,2233.TW,12,宇隆科技股份有限公司
2236,.TW,2236.TW,12,百達精密工業股份有限公司
2239,.TW,2239.TW,12,開曼英利工業股份有限公司
2241,.TW,2241.TW,12,艾姆勒科技股份有限公司
2243,.TW,2243.TW,12,宏旭控股股份有限公司
2247,.TW,2247.TW,12,汎德永業汽車股份有限公司
2248,.TW,2248.TW,12,華勝汽車電子股份有限公司
2250,.TW,2250.TW,12,第一化成控股(開曼)股份有限公司
2254,.TW,2254.TW,12,巨鎧精密工業股份有限公司
2258,.TW,2258.TW,12,鴻華先進科技股份有限公司
2301,.TW,2301.TW,25,光寶科技股份有限公司
2302,.TW,2302.TW,24,麗正國際科技股份有限公司
2303,.TW,2303.TW,24,聯華電子股份有限公司
2305,.TW,2305.TW,25,全友電腦股份有限公司
2308,.TW,2308.TW,28,台達電子工業股份有限公司
2312,.TW,2312.TW,31,金寶電子工業股份有限公司
2313,.TW,2313.TW,28,華通電腦股份有限公司
2314,.TW,2314.TW,27,台揚科技股份有限公司
2316,.TW,2316.TW,28,楠梓電子股份有限公司
2317,.TW,2317.TW,31,鴻海精密工業股份有限公司
2321,.TW,2321.TW,27,東訊股份有限公司
2323,.TW,2323.TW,26,中環股份有限公司
2324,.TW,2324.TW,25,仁寶電腦工業股份有限公司
2327,.TW,2327.TW,28,國巨股份有限公司
2328,.TW,2328.TW,28,廣宇科技股份有限公司
2329,.TW,2329.TW,24,華泰電子股份有限公司
2330,.TW,2330.TW,24,台灣積體電路製造股份有限公司
2331,.TW,2331.TW,25,精英電腦股份有限公司
2332,.TW,2332.TW,27,友訊科技股份有限公司
2337,.TW,2337.TW,24,旺宏電子股份有限公司
2338,.TW,2338.TW,24,台灣光罩股份有限公司
2340,.TW,2340.TW,24,台亞半導體股份有限公司
2342,.TW,2342.TW,24,台灣茂矽電子股份有限公司
2344,.TW,2344.TW,24,華邦電子股份有限公司
2345,.TW,2345.TW,27,智邦科技股份有限公司
2347,.TW,2347.TW,29,聯強國際股份有限公司
2348,.TW,2348.TW,20,海悅國際開發股份有限公司
2349,.TW,2349.TW,26,錸德科技股份有限公司
2351,.TW,2351.TW,24,順德工業股份有限公司
2352,.TW,2352.TW,25,佳世達科技股份有限公司
2353,.TW,2353.TW,25,宏碁股份有限公司
2354,.TW,2354.TW,31,鴻準精密工業股份有限公司
2355,.TW,2355.TW,28,敬鵬工業股份有限公司
2356,.TW,2356.TW,25,英業達股份有限公司
2357,.TW,2357.TW,25,華碩電腦股份有限公司
2359,.TW,2359.TW,31,所羅門股份有限公司
2360,.TW,2360.TW,31,致茂電子股份有限公司
2362,.TW,2362.TW,25,藍天電腦股份有限公司
2363,.TW,2363.TW,24,矽統科技股份有限公司
2364,.TW,2364.TW,25,倫飛電腦實業股份有限公司
2365,.TW,2365.TW,25,昆盈企業股份有限公司
2367,.TW,2367.TW,28,燿華電子股份有限公司
2368,.TW,2368.TW,28,金像電子(股)公司
2369,.TW,2369.TW,24,菱生精密工業股份有限公司
2371,.TW,2371.TW,5,大同股份有限公司
2373,.TW,2373.TW,31,震旦行股份有限公司
2374,.TW,2374.TW,26,佳能企業股份有限公司
2375,.TW,2375.TW,28,凱美電機股份有限公司
2376,.TW,2376.TW,25,技嘉科技股份有限公司
2377,.TW,2377.TW,25,微星科技股份有限公司
2379,.TW,2379.TW,24,瑞昱半導體股份有限公司
2380,.TW,2380.TW,25,虹光精密工業股份有限公司
2382,.TW,2382.TW,25,廣達電腦股份有限公司
2383,.TW,2383.TW,28,台光電子材料股份有限公司
2385,.TW,2385.TW,28,群光電子股份有限公司
2387,.TW,2387.TW,25,精元電腦股份有限公司
2388,.TW,2388.TW,24,威盛電子股份有限公司
2390,.TW,2390.TW,31,云辰電子開發股份有限公司
2392,.TW,2392.TW,28,正崴精密工業股份有限公司
2393,.TW,2393.TW,26,億光電子工業股份有限公司
2395,.TW,2395.TW,25,研華股份有限公司
2397,.TW,2397.TW,25,友通資訊股份有限公司
2399,.TW,2399.TW,25,映泰股份有限公司
2401,.TW,2401.TW,24,凌陽科技股份有限公司
2402,.TW,2402.TW,28,毅嘉科技股份有限公司
2404,.TW,2404.TW,31,漢唐集成股份有限公司
2405,.TW,2405.TW,25,輔信科技股份有限公司
2406,.TW,2406.TW,26,國碩科技工業股份有限公司
2408,.TW,2408.TW,24,南亞科技股份有限公司
2409,.TW,2409.TW,26,友達光電股份有限公司
2412,.TW,2412.TW,27,中華電信股份有限公司
2413,.TW,2413.TW,28,環隆科技股份有限公司
2414,.TW,2414.TW,29,精技電腦股份有限公司
2415,.TW,2415.TW,28,錩新科技股份有限公司
2417,.TW,2417.TW,25,圓剛科技股份有限公司
2419,.TW,2419.TW,27,仲琦科技股份有限公司
2420,.TW,2420.TW,28,新巨企業股份有限公司
2421,.TW,2421.TW,28,建準電機工業股份有限公司
2423,.TW,2423.TW,31,固緯電子實業股份有限公司
2424,.TW,2424.TW,27,隴華電子股份有限公司
2425,.TW,2425.TW,25,承啟科技股份有限公司
2426,.TW,2426.TW,26,鼎元光電科技股份有限公司
2427,.TW,2427.TW,30,三商電腦股份有限公司
2428,.TW,2428.TW,28,興勤電子工業股份有限公司
2429,.TW,2429.TW,26,銘旺科技股份有限公司
2430,.TW,2430.TW,29,燦坤實業股份有限公司
2431,.TW,2431.TW,28,聯昌電子企業股份有限公司
2432,.TW,2432.TW,25,倚天酷碁股份有限公司
2433,.TW,2433.TW,31,互盛股份有限公司
2434,.TW,2434.TW,24,統懋半導體股份有限公司
2436,.TW,2436.TW,24,偉詮電子股份有限公司
2438,.TW,2438.TW,26,翔耀實業股份有限公司
2439,.TW,2439.TW,27,美律實業股份有限公司
2440,.TW,2440.TW,28,太空梭高傳真資訊科技(股)公司
2441,.TW,2441.TW,24,超豐電子股份有限公司
2442,.TW,2442.TW,14,新美齊股份有限公司
2444,.TW,2444.TW,27,兆勁科技股份有限公司
2449,.TW,2449.TW,24,京元電子股份有限公司
2450,.TW,2450.TW,27,神腦國際企業股份有限公司
2451,.TW,2451.TW,24,創見資訊股份有限公司
2453,.TW,2453.TW,30,凌群電腦股份有限公司
2454,.TW,2454.TW,24,聯發科技股份有限公司
2455,.TW,2455.TW,27,全新光電科技股份有限公司
2457,.TW,2457.TW,28,飛宏科技股份有限公司
2458,.TW,2458.TW,24,義隆電子股份有限公司
2459,.TW,2459.TW,31,敦吉科技股份有限公司
2460,.TW,2460.TW,28,建通精密工業股份有限公司
2461,.TW,2461.TW,31,光群雷射科技股份有限公司
2462,.TW,2462.TW,28,台灣良得電子股份有限公司
2464,.TW,2464.TW,31,盟立自動化股份有限公司
2465,.TW,2465.TW,25,麗臺科技股份有限公司
2466,.TW,2466.TW,26,冠西電子企業股份有限公司
2467,.TW,2467.TW,28,志聖工業股份有限公司
2468,.TW,2468.TW,30,華經資訊企業股份有限公司
2471,.TW,2471.TW,30,資通電腦股份有限公司
2472,.TW,2472.TW,28,立隆電子工業股份有限公司
2474,.TW,2474.TW,31,可成科技股份有限公司
2476,.TW,2476.TW,28,鉅祥企業股份有限公司
2477,.TW,2477.TW,31,美隆工業股份有限公司
2478,.TW,2478.TW,28,大毅科技股份有限公司
2480,.TW,2480.TW,30,敦陽科技股份有限公司
2481,.TW,2481.TW,24,強茂股份有限公司
2482,.TW,2482.TW,31,連宇股份有限公司
2483,.TW,2483.TW,28,百容電子股份有限公司
2484,.TW,2484.TW,28,希華晶體科技股份有限公司
2485,.TW,2485.TW,27,兆赫電子股份有限公司
2486,.TW,2486.TW,26,一詮精密工業股份有限公司
2488,.TW,2488.TW,31,漢平電子工業股份有限公司
2489,.TW,2489.TW,26,瑞軒科技股份有限公司
2491,.TW,2491.TW,26,吉祥全球實業股份有限公司
2492,.TW,2492.TW,28,華新科技股份有限公司
2493,.TW,2493.TW,28,揚博科技股份有限公司
2495,.TW,2495.TW,25,普安科技股份有限公司
2496,.TW,2496.TW,20,卓越成功股份有限公司
2497,.TW,2497.TW,12,怡利電子工業股份有限公司
2498,.TW,2498.TW,27,宏達國際電子股份有限公司
2501,.TW,2501.TW,14,國泰建設股份有限公司
2504,.TW,2504.TW,14,國產建材實業股份有限公司
2505,.TW,2505.TW,14,國揚實業股份有限公司
2506,.TW,2506.TW,14,太平洋建設股份有限公司
2509,.TW,2509.TW,14,全坤建設開發股份有限公司
2511,.TW,2511.TW,14,太子建設開發股份有限公司
