Ticker SYMBOL,產業類別,產業類別名稱,資料年月,單月營收年增率(%)
3033.TW,29,29,2026-02,-10.33
3034.TW,24,24,2026-02,-23.82
3035.TW,24,24,2026-02,-74.02
3036.TW,29,29,2026-02,28.98
3037.TW,28,28,2026-02,16.18
3038.TW,26,26,2026-02,-13.46
3040.TW,20,20,2026-02,22.05
3041.TW,24,24,2026-02,31.31
3042.TW,28,28,2026-02,7.31
3043.TW,31,31,2026-02,-1.06
3044.TW,28,28,2026-02,10.68
3045.TW,27,27,2026-02,-0.03
3046.TW,25,25,2026-02,-15.9
3047.TW,27,27,2026-02,-40.47
3048.TW,29,29,2026-02,10.73
3049.TW,26,26,2026-02,-74.44
3050.TW,26,26,2026-02,-12.62
3051.TW,26,26,2026-02,-34.01
3052.TW,14,14,2026-02,-11.65
3054.TW,2,2,2026-02,750.99
3055.TW,29,29,2026-02,-17.89
3056.TW,14,14,2026-02,-96.9
3057.TW,25,25,2026-02,-22.74
3058.TW,28,28,2026-02,-22.41
3059.TW,26,26,2026-02,10.87
3060.TW,25,25,2026-02,-4.07
3062.TW,27,27,2026-02,-19.93
3090.TW,28,28,2026-02,9.44
3092.TW,28,28,2026-02,-27.42
3094.TW,24,24,2026-02,-10.37
3130.TW,36,36,2026-02,-12.49
3135.TW,24,24,2026-02,104.12
3138.TW,27,27,2026-02,19.48
3149.TW,26,26,2026-02,72.58
3150.TW,24,24,2026-02,-20.5
3164.TW,22,22,2026-02,-35.48
3167.TW,5,5,2026-02,123.02
3168.TW,26,26,2026-02,-2.29
3189.TW,24,24,2026-02,10.0
3209.TW,29,29,2026-02,35.04
3229.TW,28,28,2026-02,-1.93
3231.TW,25,25,2026-02,177.37
3257.TW,24,24,2026-02,-43.53
3266.TW,14,14,2026-02,-2.52
3296.TW,28,28,2026-02,-15.03
3305.TW,31,31,2026-02,62.39
3308.TW,28,28,2026-02,-4.21
3311.TW,27,27,2026-02,-23.59
3312.TW,29,29,2026-02,-23.51
3321.TW,28,28,2026-02,-24.45
3338.TW,28,28,2026-02,-38.42
3346.TW,12,12,2026-02,-32.68
3356.TW,26,26,2026-02,11.74
3376.TW,28,28,2026-02,-21.6
3380.TW,27,27,2026-02,-9.05
3406.TW,26,26,2026-02,5.14
3413.TW,24,24,2026-02,4.17
3416.TW,25,25,2026-02,37.85
3419.TW,27,27,2026-02,-3.5
3432.TW,28,28,2026-02,477.03
3437.TW,26,26,2026-02,-32.47
3443.TW,24,24,2026-02,60.15
3447.TW,27,27,2026-02,21.02
3450.TW,24,24,2026-02,-36.61
3481.TW,26,26,2026-02,5.6
3494.TW,25,25,2026-02,17.85
3501.TW,28,28,2026-02,-31.59
3504.TW,26,26,2026-02,-18.56
3515.TW,25,25,2026-02,-29.86
3518.TW,31,31,2026-02,-34.19
3528.TW,29,29,2026-02,21.54
3530.TW,24,24,2026-02,33.12
3532.TW,24,24,2026-02,-3.74
3533.TW,28,28,2026-02,5.07
3535.TW,26,26,2026-02,4841.75
3543.TW,26,26,2026-02,-20.43
3545.TW,24,24,2026-02,-22.07
3550.TW,28,28,2026-02,-28.5
3557.TW,38,38,2026-02,-37.47
3563.TW,26,26,2026-02,4.91
3576.TW,26,26,2026-02,-55.94
3583.TW,24,24,2026-02,12.67
3588.TW,24,24,2026-02,2.27
3591.TW,26,26,2026-02,-4.1
3592.TW,24,24,2026-02,-12.82
3593.TW,28,28,2026-02,-68.48
3596.TW,27,27,2026-02,-6.6
3605.TW,28,28,2026-02,7.18
3607.TW,28,28,2026-02,-6.77
3617.TW,31,31,2026-02,0.85
3622.TW,26,26,2026-02,30.8
3645.TW,28,28,2026-02,-8.5
3652.TW,25,25,2026-02,2.35
3653.TW,28,28,2026-02,-14.57
3661.TW,24,24,2026-02,-77.08
3665.TW,31,31,2026-02,27.71
3669.TW,27,27,2026-02,28.9
3673.TW,26,26,2026-02,18.91
3679.TW,28,28,2026-02,-38.94
3686.TW,24,24,2026-02,9.38
3694.TW,27,27,2026-02,-3.67
3701.TW,25,25,2026-02,-38.44
3702.TW,29,29,2026-02,9.4
3703.TW,14,14,2026-02,-30.89
3704.TW,27,27,2026-02,-17.67
3705.TW,22,22,2026-02,-16.66
3706.TW,25,25,2026-02,25.33
3708.TW,35,35,2026-02,-73.15
3711.TW,24,24,2026-02,15.87
3712.TW,25,25,2026-02,-45.72
3714.TW,26,26,2026-02,-17.01
3715.TW,28,28,2026-02,23.08
3716.TW,22,22,2026-02,-7.15
4104.TW,22,22,2026-02,-3.44
4106.TW,22,22,2026-02,10.6
4108.TW,22,22,2026-02,4.99
4119.TW,22,22,2026-02,39.94
4133.TW,22,22,2026-02,-12.42
4137.TW,22,22,2026-02,-32.92
4142.TW,22,22,2026-02,-19.67
4148.TW,22,22,2026-02,10.84
4155.TW,22,22,2026-02,10.83
4164.TW,22,22,2026-02,22.75
4190.TW,22,22,2026-02,-22.9
4306.TW,3,3,2026-02,-17.57
4414.TW,4,4,2026-02,-6.98
4426.TW,4,4,2026-02,-33.72
4438.TW,4,4,2026-02,-6.56
4439.TW,4,4,2026-02,-24.58
4440.TW,4,4,2026-02,-0.08
4441.TW,4,4,2026-02,15.59
4526.TW,5,5,2026-02,-29.48
4532.TW,5,5,2026-02,-11.04
4536.TW,37,37,2026-02,-19.84
4540.TW,5,5,2026-02,34.44
4545.TW,28,28,2026-02,-7.46
4551.TW,12,12,2026-02,11.7
4552.TW,5,5,2026-02,-20.93
4555.TW,5,5,2026-02,5.09
4557.TW,12,12,2026-02,-33.27
4560.TW,5,5,2026-02,-6.59
4562.TW,5,5,2026-02,-40.48
4564.TW,5,5,2026-02,-27.36
4566.TW,5,5,2026-02,-2.8
4569.TW,12,12,2026-02,-10.88
4571.TW,5,5,2026-02,-6.77
4572.TW,5,5,2026-02,24.46
4576.TW,5,5,2026-02,22.0
4581.TW,12,12,2026-02,5.96
4583.TW,5,5,2026-02,-9.01
4585.TW,31,31,2026-02,-11.64
4588.TW,31,31,2026-02,-83.73
4590.TW,5,5,2026-02,-16.3
4720.TW,21,21,2026-02,-20.55
4722.TW,21,21,2026-02,-20.72
4736.TW,22,22,2026-02,-15.64
4737.TW,22,22,2026-02,-28.95
4739.TW,21,21,2026-02,192.15
4746.TW,22,22,2026-02,-20.47
4755.TW,21,21,2026-02,-16.1
4763.TW,21,21,2026-02,-47.65
4764.TW,21,21,2026-02,25.59
4766.TW,21,21,2026-02,-14.66
4770.TW,21,21,2026-02,-31.06
4771.TW,22,22,2026-02,21.32
4807.TW,18,18,2026-02,8.29
4904.TW,27,27,2026-02,5.09
4906.TW,27,27,2026-02,-45.63
4912.TW,28,28,2026-02,22.39
4915.TW,28,28,2026-02,-17.11
4916.TW,25,25,2026-02,40.99
4919.TW,24,24,2026-02,-7.27
4927.TW,28,28,2026-02,-15.69
4930.TW,6,6,2026-02,-24.25
4934.TW,26,26,2026-02,130.03
4935.TW,26,26,2026-02,-37.73
4938.TW,25,25,2026-02,-17.58
4942.TW,26,26,2026-02,-23.99
4943.TW,28,28,2026-02,44.58
4949.TW,26,26,2026-02,38.12
4952.TW,24,24,2026-02,0.67
4956.TW,26,26,2026-02,-6.19
4958.TW,28,28,2026-02,-3.97
4960.TW,26,26,2026-02,-21.4
4961.TW,24,24,2026-02,-10.35
4967.TW,24,24,2026-02,-22.19
4968.TW,24,24,2026-02,-6.87
4976.TW,26,26,2026-02,1.38
4977.TW,27,27,2026-02,-17.45
4989.TW,28,28,2026-02,78.68
4994.TW,30,30,2026-02,16.37
4999.TW,28,28,2026-02,-0.34
5007.TW,10,10,2026-02,-15.51
5203.TW,30,30,2026-02,5.93
5215.TW,25,25,2026-02,50.94
5222.TW,24,24,2026-02,-15.72
5225.TW,31,31,2026-02,-27.91
5234.TW,26,26,2026-02,1.17
5243.TW,26,26,2026-02,-4.3
5244.TW,26,26,2026-02,-15.76
5258.TW,25,25,2026-02,-21.09
5269.TW,24,24,2026-02,17.65
5283.TW,6,6,2026-02,-14.3
5284.TW,20,20,2026-02,50.24
5285.TW,24,24,2026-02,-3.23
5288.TW,5,5,2026-02,-25.24
5292.TW,35,35,2026-02,-43.09
5306.TW,37,37,2026-02,-14.68
5388.TW,27,27,2026-02,21.11
5434.TW,29,29,2026-02,13.92
5469.TW,28,28,2026-02,38.66
5471.TW,24,24,2026-02,-2.59
5484.TW,26,26,2026-02,183.64
5515.TW,14,14,2026-02,-9.08
5519.TW,14,14,2026-02,-39.22
5521.TW,14,14,2026-02,-0.7
5522.TW,14,14,2026-02,1220.01
5525.TW,14,14,2026-02,1275.96
5531.TW,14,14,2026-02,22.84
5533.TW,14,14,2026-02,-47.7
5534.TW,14,14,2026-02,-69.26
5538.TW,10,10,2026-02,-31.35
5546.TW,14,14,2026-02,-75.92
5607.TW,15,15,2026-02,26.38
5608.TW,15,15,2026-02,0.99
5706.TW,16,16,2026-02,74.55
5871.TW,20,20,2026-02,-3.57
5876.TW,17,17,2026-02,0.6
5880.TW,17,17,2026-02,18.31
5906.TW,18,18,2026-02,36.91
5907.TW,18,18,2026-02,4.62
6005.TW,17,17,2026-02,54.46
6024.TW,17,17,2026-02,152.89
6108.TW,28,28,2026-02,-7.23
6112.TW,30,30,2026-02,19.66
6115.TW,28,28,2026-02,-25.49
6116.TW,26,26,2026-02,-10.19
6117.TW,25,25,2026-02,3.56
6120.TW,26,26,2026-02,-27.83
6128.TW,25,25,2026-02,-1.02
6133.TW,28,28,2026-02,7.16
6136.TW,27,27,2026-02,6.55
6139.TW,31,31,2026-02,81.4
6141.TW,28,28,2026-02,-18.96
6142.TW,27,27,2026-02,4.36
6152.TW,27,27,2026-02,-29.86
6153.TW,28,28,2026-02,-16.7
6155.TW,28,28,2026-02,-8.61
6164.TW,26,26,2026-02,-14.18
6165.TW,36,36,2026-02,10.72
6166.TW,25,25,2026-02,16.16
6168.TW,26,26,2026-02,16.04
6176.TW,26,26,2026-02,-5.25
6177.TW,14,14,2026-02,554.93
6183.TW,30,30,2026-02,4.98
6184.TW,20,20,2026-02,4.16
6189.TW,29,29,2026-02,-16.33
6191.TW,28,28,2026-02,71.02
6192.TW,31,31,2026-02,-28.68
6196.TW,31,31,2026-02,5.44
6197.TW,28,28,2026-02,20.32
6201.TW,31,31,2026-02,-33.57
6202.TW,24,24,2026-02,-21.05
6205.TW,28,28,2026-02,-35.92
6206.TW,25,25,2026-02,9.37
6209.TW,26,26,2026-02,11.49
6213.TW,28,28,2026-02,9.01
6214.TW,30,30,2026-02,-7.43
6215.TW,31,31,2026-02,51.23
6216.TW,27,27,2026-02,-48.02
6224.TW,28,28,2026-02,-15.14
6225.TW,26,26,2026-02,-31.9
6226.TW,26,26,2026-02,-11.06
6230.TW,25,25,2026-02,-1.88
6235.TW,25,25,2026-02,-0.77
6239.TW,24,24,2026-02,34.63
6243.TW,24,24,2026-02,-59.52
6257.TW,24,24,2026-02,8.46
6269.TW,28,28,2026-02,-8.71
6271.TW,24,24,2026-02,-9.2
6272.TW,28,28,2026-02,-31.02
6277.TW,25,25,2026-02,10.91
6278.TW,26,26,2026-02,-5.29
6281.TW,29,29,2026-02,12.98
6282.TW,28,28,2026-02,14.63
6283.TW,31,31,2026-02,-46.11
6285.TW,27,27,2026-02,-6.93
6405.TW,26,26,2026-02,-64.0
6409.TW,31,31,2026-02,-15.58
6412.TW,28,28,2026-02,-21.67
6414.TW,25,25,2026-02,3.26
6415.TW,24,24,2026-02,2.28
6416.TW,27,27,2026-02,-17.98
6426.TW,27,27,2026-02,7.26
6431.TW,22,22,2026-02,-15.57
6438.TW,31,31,2026-02,9.1
6442.TW,27,27,2026-02,44.09
6443.TW,26,26,2026-02,-43.33
6446.TW,22,22,2026-02,56.65
6449.TW,28,28,2026-02,15.64
6451.TW,24,24,2026-02,-45.37
6456.TW,26,26,2026-02,7.75
6464.TW,20,20,2026-02,-5.05
6472.TW,22,22,2026-02,-23.23
6477.TW,26,26,2026-02,78.94
6491.TW,22,22,2026-02,6.03
6504.TW,20,20,2026-02,-27.59
6505.TW,23,23,2026-02,-17.26
6515.TW,24,24,2026-02,-3.83
6525.TW,24,24,2026-02,3.53
6526.TW,24,24,2026-02,2.44
6531.TW,24,24,2026-02,146.68
6533.TW,24,24,2026-02,12.26
6534.TW,22,22,2026-02,2.07
6541.TW,22,22,2026-02,218.71
6550.TW,22,22,2026-02,322.86
6552.TW,24,24,2026-02,-44.19
6558.TW,31,31,2026-02,-37.18
6573.TW,24,24,2026-02,-36.81
6579.TW,25,25,2026-02,21.14
6581.TW,35,35,2026-02,62.29
6582.TW,11,11,2026-02,-64.72
6585.TW,20,20,2026-02,-22.22
6589.TW,22,22,2026-02,100.63
6591.TW,25,25,2026-02,-34.3
6592.TW,20,20,2026-02,-8.22
6598.TW,22,22,2026-02,81.28
6605.TW,12,12,2026-02,7.92
6606.TW,5,5,2026-02,-12.32
6614.TW,36,36,2026-02,39.16
6625.TW,20,20,2026-02,-21.2
6641.TW,35,35,2026-02,-29.05
6645.TW,22,22,2026-02,12.01
6655.TW,20,20,2026-02,-22.77
6657.TW,22,22,2026-02,-8.47
6658.TW,31,31,2026-02,-5.21
6666.TW,22,22,2026-02,-12.5
6668.TW,26,26,2026-02,2.07
6669.TW,25,25,2026-02,103.44
6670.TW,37,37,2026-02,29.32
6671.TW,38,38,2026-02,-35.57
6672.TW,28,28,2026-02,4.55
6674.TW,27,27,2026-02,-62.95
6689.TW,36,36,2026-02,-10.97
6691.TW,31,31,2026-02,37.09
6695.TW,24,24,2026-02,-6.27
6698.TW,31,31,2026-02,-17.68
6706.TW,26,26,2026-02,-62.38
6715.TW,28,28,2026-02,17.74
6719.TW,24,24,2026-02,-0.88
6722.TW,31,31,2026-02,-14.35
6742.TW,26,26,2026-02,-39.37
6743.TW,31,31,2026-02,-24.09
6753.TW,15,15,2026-02,-18.46
6754.TW,38,38,2026-02,-39.29
6756.TW,24,24,2026-02,-14.43
6757.TW,15,15,2026-02,36.73
6768.TW,37,37,2026-02,-24.86
6770.TW,24,24,2026-02,12.01
6771.TW,35,35,2026-02,-37.35
6776.TW,29,29,2026-02,-3.35
6781.TW,28,28,2026-02,24.88
6782.TW,22,22,2026-02,11.64
6789.TW,24,24,2026-02,7.39
6790.TW,9,9,2026-02,-8.36
6792.TW,27,27,2026-02,1.98
6794.TW,22,22,2026-02,186.18
6796.TW,22,22,2026-02,8.09
6799.TW,24,24,2026-02,-4.53
6805.TW,28,28,2026-02,51.13
6806.TW,35,35,2026-02,-49.74
6807.TW,38,38,2026-02,-27.31
6830.TW,31,31,2026-02,25.77
6831.TW,25,25,2026-02,43.88
6834.TW,28,28,2026-02,1.74
6835.TW,28,28,2026-02,-12.69
6838.TW,22,22,2026-02,120.2
6854.TW,24,24,2026-02,-67.69
6861.TW,22,22,2026-02,44.0
6862.TW,28,28,2026-02,-48.26
6863.TW,27,27,2026-02,1.72
6869.TW,35,35,2026-02,69.08
6873.TW,35,35,2026-02,2.65
6885.TW,22,22,2026-02,1758.82
6887.TW,35,35,2026-02,-38.09
6890.TW,37,37,2026-02,-29.43
6901.TW,20,20,2026-02,-157.42
6902.TW,36,36,2026-02,16.56
6906.TW,36,36,2026-02,0.42
6909.TW,24,24,2026-02,-41.21
6914.TW,20,20,2026-02,9.63
6916.TW,26,26,2026-02,-19.57
6918.TW,22,22,2026-02,6.51
6921.TW,24,24,2026-02,-59.03
6923.TW,35,35,2026-02,-2.69
6924.TW,28,28,2026-02,19.27
6928.TW,25,25,2026-02,-25.45
6931.TW,22,22,2026-02,6.36
6933.TW,25,25,2026-02,-22.5
6934.TW,22,22,2026-02,-91.22
6936.TW,22,22,2026-02,-11.74
6937.TW,24,24,2026-02,31.25
6944.TW,35,35,2026-02,100.6
6949.TW,22,22,2026-02,61.16
6951.TW,35,35,2026-02,17.83
6952.TW,20,20,2026-02,25.7
6955.TW,22,22,2026-02,13.04
6957.TW,20,20,2026-02,43.06
6958.TW,20,20,2026-02,-13.83
6962.TW,24,24,2026-02,-26.61
6965.TW,37,37,2026-02,-18.23
6969.TW,35,35,2026-02,-4.59
6988.TW,12,12,2026-02,-39.73
6994.TW,35,35,2026-02,19.18
7610.TW,35,35,2026-02,252.95
7631.TW,31,31,2026-02,81.09
7705.TW,16,16,2026-02,23.98
7711.TW,25,25,2026-02,-0.15
7721.TW,36,36,2026-02,30.21
7722.TW,36,36,2026-02,15.84
7730.TW,24,24,2026-02,274.05
7732.TW,12,12,2026-02,-19.01
7736.TW,12,12,2026-02,-24.97
7740.TW,35,35,2026-02,515.18
7749.TW,24,24,2026-02,74.82
7750.TW,5,5,2026-02,2.67
7765.TW,36,36,2026-02,-15.34
7769.TW,24,24,2026-02,57.02
7780.TW,2,2,2026-02,18.67
7786.TW,35,35,2026-02,0.16
7788.TW,28,28,2026-02,13.59
7791.TW,2,2,2026-02,11.91
7795.TW,28,28,2026-02,-22.83
7823.TW,36,36,2026-02,6.45
8011.TW,27,27,2026-02,-20.66
8016.TW,24,24,2026-02,10.11
8021.TW,31,31,2026-02,42.47
8028.TW,24,24,2026-02,18.65
8033.TW,20,20,2026-02,-28.32
8039.TW,28,28,2026-02,-4.79
8045.TW,27,27,2026-02,11.28
8046.TW,28,28,2026-02,12.84
8070.TW,29,29,2026-02,6.79
8072.TW,29,29,2026-02,-12.7
8081.TW,24,24,2026-02,-14.07
8101.TW,27,27,2026-02,42.63
8103.TW,28,28,2026-02,-2.97
8104.TW,26,26,2026-02,-54.07
8105.TW,26,26,2026-02,-11.49
8110.TW,24,24,2026-02,6.8
8112.TW,29,29,2026-02,136.81
8114.TW,25,25,2026-02,-37.28
8131.TW,24,24,2026-02,23.83
8150.TW,24,24,2026-02,22.12
8162.TW,24,24,2026-02,-19.53
8163.TW,25,25,2026-02,11.55
8201.TW,31,31,2026-02,-37.71
8210.TW,25,25,2026-02,49.62
8213.TW,28,28,2026-02,-7.62
8215.TW,26,26,2026-02,-14.19
8222.TW,5,5,2026-02,-5.02
8249.TW,28,28,2026-02,-39.24
8261.TW,24,24,2026-02,-3.33
8271.TW,24,24,2026-02,193.82
8341.TW,35,35,2026-02,13.19
8367.TW,15,15,2026-02,-11.08
8374.TW,5,5,2026-02,3.9
8404.TW,20,20,2026-02,-23.61
8411.TW,20,20,2026-02,2.29
8422.TW,35,35,2026-02,-42.52
8429.TW,18,18,2026-02,-31.37
8438.TW,35,35,2026-02,28.57
8442.TW,20,20,2026-02,9.79
8443.TW,18,18,2026-02,6.35
8454.TW,36,36,2026-02,-2.07
8462.TW,37,37,2026-02,8.5
8463.TW,20,20,2026-02,-18.17
8464.TW,38,38,2026-02,-2.25
8466.TW,20,20,2026-02,-21.07
8467.TW,37,37,2026-02,-39.47
8473.TW,35,35,2026-02,-2.57
8476.TW,35,35,2026-02,43.43
8478.TW,37,37,2026-02,151.13
8481.TW,20,20,2026-02,-29.2
8482.TW,38,38,2026-02,14.51
8487.TW,36,36,2026-02,-11.19
8488.TW,20,20,2026-02,43.26
8499.TW,31,31,2026-02,79.89
8926.TW,23,23,2026-02,300.39
8940.TW,16,16,2026-02,99.62
8996.TW,5,5,2026-02,205.73
9105.TW,91,91,2026-02,-20.0
9802.TW,37,37,2026-02,8.14
9902.TW,20,20,2026-02,-93.08
9904.TW,37,37,2026-02,14.69
9905.TW,20,20,2026-02,7.77
9906.TW,14,14,2026-02,351.05
9907.TW,20,20,2026-02,-24.35
9908.TW,23,23,2026-02,-6.98
9910.TW,37,37,2026-02,-12.32
9911.TW,38,38,2026-02,1.12
9912.TW,25,25,2026-02,-16.51
9914.TW,37,37,2026-02,-22.06
9917.TW,20,20,2026-02,-2.17
9918.TW,23,23,2026-02,-15.91
9919.TW,20,20,2026-02,-1.04
9921.TW,37,37,2026-02,-40.05
9924.TW,38,38,2026-02,-17.32
9925.TW,20,20,2026-02,4.04
9926.TW,23,23,2026-02,-7.28
9927.TW,20,20,2026-02,-20.76
9928.TW,20,20,2026-02,23.32
9929.TW,20,20,2026-02,-8.68
9930.TW,35,35,2026-02,-20.91
9931.TW,23,23,2026-02,8.35
9933.TW,20,20,2026-02,-34.95
9934.TW,38,38,2026-02,10.24
9935.TW,38,38,2026-02,3.34
9937.TW,23,23,2026-02,-13.0
9938.TW,20,20,2026-02,-27.18
9939.TW,20,20,2026-02,-16.02
9940.TW,20,20,2026-02,7.5
9941.TW,20,20,2026-02,0.01
9942.TW,20,20,2026-02,-7.95
9943.TW,16,16,2026-02,31.59
9944.TW,20,20,2026-02,-17.27
9945.TW,20,20,2026-02,-0.19
9946.TW,14,14,2026-02,34244.54
9955.TW,35,35,2026-02,95.59
9958.TW,10,10,2026-02,24.07
